paper_id,title,year,venue,source_url,code_url,method_family,reading_status,reproduction_status,notes_path
ris2005,Importance Resampling for Global Illumination,2005,EGSR,https://diglib.eg.org/items/7b8d7c38-ee96-4415-acdd-3dd164fa8fad,,foundations,source_checked,not_started,docs/literature/README.md
restir_di2020,Spatiotemporal Reservoir Resampling for Real-time Ray Tracing with Dynamic Direct Lighting,2020,TOG / SIGGRAPH,https://research.nvidia.com/labs/rtr/publication/bitterli2020spatiotemporal/,https://github.com/NVIDIA-RTX/RTXDI,foundations,source_checked,not_started,docs/literature/README.md
production2021,Rearchitecting Spatiotemporal Resampling for Production,2021,HPG,https://research.nvidia.com/labs/rtr/publication/wyman2021rearchitecting/,https://github.com/NVIDIA-RTX/RTXDI,foundations,source_checked,not_started,docs/literature/README.md
restir_gi2021,ReSTIR GI: Path Resampling for Real-Time Path Tracing,2021,CGF / HPG,https://research.nvidia.com/publication/2021-06_restir-gi-path-resampling-real-time-path-tracing,https://github.com/NVIDIA-RTX/RTXDI,foundations,source_checked,not_started,docs/literature/README.md
gris2022,Generalized Resampled Importance Sampling: Foundations of ReSTIR,2022,TOG / SIGGRAPH,https://research.nvidia.com/labs/rtr/publication/lin2022generalized/,https://github.com/DQLin/ReSTIR_PT,foundations,source_checked,not_started,docs/literature/README.md
conditional2023,Conditional Resampled Importance Sampling and ReSTIR,2023,SIGGRAPH Asia Conference,https://research.nvidia.com/labs/rtr/publication/kettunen2023conditional/,https://github.com/NVlabs/conditional-restir-prototype,foundations,source_checked,not_started,docs/literature/README.md
pdf_similarity2023,Efficient Spatial Resampling Using the PDF Similarity,2023,PACMCGIT / I3D,https://doi.org/10.1145/3585501,,reuse_quality,source_checked,not_started,docs/literature/README.md
mcmc2024,Decorrelating ReSTIR Samplers via MCMC Mutations,2024,TOG,https://research.nvidia.com/labs/rtr/publication/sawhney2024decorrelating/,,reuse_quality,source_checked,not_started,docs/literature/README.md
mis_weight2024,Enhancing Spatiotemporal Resampling with a Novel MIS Weight,2024,CGF / Eurographics,https://doi.org/10.1111/cgf.15049,,reuse_quality,source_checked,not_started,docs/literature/README.md
histogram2025,Histogram Stratification for Spatio-Temporal Reservoir Sampling,2025,SIGGRAPH Conference,https://iribis.github.io/publication/2025_Stratified_Histogram_Resampling,,reuse_quality,source_checked,not_started,docs/literature/README.md
spmis2026,Stochastic Pairwise MIS for Unbiased Large-Kernel Reuse in Real Time,2026,CGF / Eurographics,https://research.nvidia.com/labs/rtr/publication/hedstrom2026stochastic/,,reuse_quality,source_checked,not_started,docs/literature/README.md
cgns2026,Compatibility-Guided Neighbor Selection for ReSTIR,2026,PACMCGIT / HPG,https://research.nvidia.com/labs/rtr/publication/junkins2026compatibility/,https://github.com/orion-junkins/ReSTIR-CGNS,reuse_quality,source_checked,not_started,docs/literature/README.md
blue_noise2026,Blue Noise Dithering for Reservoir-Based Spatio-Temporal Importance Resampling,2026,IEEE TVCG (online July 1),https://doi.org/10.1109/TVCG.2026.3708022,,reuse_quality,source_checked,not_started,docs/literature/README.md
pt_enhanced2026,ReSTIR PT Enhanced: Algorithmic Advances for Faster and More Robust ReSTIR Path Tracing,2026,PACMCGIT / I3D,https://research.nvidia.com/labs/rtr/publication/lin2026restirptenhanced/,https://github.com/NVIDIA-RTX/RTXDI,reuse_quality,source_checked,not_started,docs/literature/README.md
area2024,Area ReSTIR: Resampling for Real-Time Defocus and Antialiasing,2024,TOG / SIGGRAPH,https://research.nvidia.com/labs/rtr/publication/zhang2024area/,https://github.com/guiqi134/Area-ReSTIR,camera_dynamics,source_checked,not_started,docs/literature/README.md
splatting2025,Reservoir Splatting for Temporal Path Resampling and Motion Blur,2025,SIGGRAPH Conference,https://research.nvidia.com/labs/rtr/publication/liu2025splatting/,https://github.com/Jebbly/Reservoir-Splatting,camera_dynamics,source_checked,not_started,docs/literature/README.md
multilayer2026,Multi-Layer Reservoir Splatting for Temporal Reuse under Disocclusion,2026,SIGGRAPH Conference,https://research.nvidia.com/labs/rtr/publication/hong2026multilayer/,,camera_dynamics,source_checked,not_started,docs/literature/README.md
lod2026,Real-Time Level-of-Detail Rendering with ReSTIR,2026,SIGGRAPH Conference,https://research.nvidia.com/labs/rtr/publication/wang2026levelofdetail/,,camera_dynamics,source_checked,not_started,docs/literature/README.md
volume2021,Fast Volume Rendering with Spatiotemporal Reservoir Resampling,2021,TOG / SIGGRAPH Asia,https://research.nvidia.com/publication/2021-11_fast-volume-rendering-spatiotemporal-reservoir-resampling,,transport,source_checked,not_started,docs/literature/README.md
fg2024,ReSTIR FG: Real-Time Reservoir Resampled Photon Final Gathering,2024,EGSR Symposium Track,https://doi.org/10.2312/sr.20241155,https://github.com/TU-Clausthal-Rendering/ReSTIR-FG,transport,source_checked,not_started,docs/literature/README.md
sss2024,ReSTIR Subsurface Scattering for Real-Time Path Tracing,2024,PACMCGIT / HPG,https://cg.ivd.kit.edu/english/restir-sss.php,https://github.com/MircoWerner/ReSTIR-SSS,transport,source_checked,not_started,docs/literature/README.md
bdpt2025,ReSTIR BDPT: Bidirectional ReSTIR Path Tracing with Caustics,2025,TOG,https://research.nvidia.com/labs/rtr/publication/hedstrom2025restir/,https://github.com/Shmaug/ReSTIR-BDPT,transport,source_checked,not_started,docs/literature/README.md
psms2025,Sample Space Partitioning and Spatiotemporal Resampling for Specular Manifold Sampling,2025,SIGGRAPH Asia Conference,https://research.nvidia.com/labs/rtr/publication/hong2025partition/,https://github.com/Utah-Graphics-Lab/PSMS-ReSTIR,transport,source_checked,not_started,docs/literature/README.md
pg2025,ReSTIR PG: Path Guiding with Spatiotemporally Resampled Paths,2025,SIGGRAPH Asia Conference,https://research.nvidia.com/labs/rtr/publication/zeng2025restirpg/,,transport,source_checked,not_started,docs/literature/README.md
guided_fg2026,Guided ReSTIR FG+ Photon Resampling for Large Scenes and Many Lights,2026,EGSR Symposium Track,https://doi.org/10.2312/sr.20261001,https://github.com/TU-Clausthal-Rendering/Guided-ReSTIR-FG-Plus,transport,source_checked,not_started,docs/literature/README.md
gradient2026,Gradient-Domain ReSTIR Path Tracing,2026,CGF / Eurographics,https://research.nvidia.com/labs/rtr/publication/wang2026gradient/,https://github.com/elite-sheep/gradient-restir,estimators,source_checked,not_started,docs/literature/README.md
restcv2026,Spatio-Temporal Control Variates with ReSTIR for Real-Time Rendering,2026,SIGGRAPH Conference,https://hercier.github.io/restcv/,https://github.com/Hercier/ReSTCV,estimators,source_checked,not_started,docs/literature/README.md
parameter2023,Parameter-space ReSTIR for Differentiable and Inverse Rendering,2023,SIGGRAPH Conference,https://weschang.com/publications/restir-dr/,,estimators,source_checked,not_started,docs/literature/README.md
inverse2023,Amortizing Samples in Physics-Based Inverse Rendering using ReSTIR,2023,TOG / SIGGRAPH Asia,https://research.nvidia.com/labs/rtr/publication/wang2023amortizing/,,estimators,source_checked,not_started,docs/literature/README.md
shadow_maps2025,Many-Light Rendering Using ReSTIR-Sampled Shadow Maps,2025,CGF / Eurographics,https://research.nvidia.com/labs/rtr/publication/zhang2025many-light/,,estimators,source_checked,not_started,docs/literature/README.md
tof2026,ToF ReSTIR: Time-of-Flight Rendering with Spatio-temporal Reservoir Resampling,2026,TOG / SIGGRAPH,https://arxiv.org/abs/2605.11536,,estimators,source_checked,not_started,docs/literature/README.md
regir2021,Rendering Many Lights with Grid-Based Reservoirs,2021,Ray Tracing Gems II (book chapter),https://research.nvidia.com/labs/rtr/publication/boksansky2021rendering/,https://github.com/NVIDIA-RTX/RTXDI,supporting,source_checked,not_started,docs/literature/README.md
course2023,A Gentle Introduction to ReSTIR: Path Reuse in Real-time,2023,SIGGRAPH Course,https://intro-to-restir.cwyman.org/,,supporting,source_checked,not_started,docs/literature/README.md
